state,Pandemic_4,Pandemic_1,Pandemic_7,Pandemic_6,Pandemic_11,Pandemic_8,Year,Spare,M,Period
GA,53369,39977,125,113,0,0,2022,3,M,M3
GA,33586,22907,87,75,50,6,2022,4,M,M4
GA,85791,63759,198,188,0,0,2022,5,M,M5
GA,129811,109745,404,368,0,0,2022,6,M,M6
GA,210039,149106,715,653,0,0,2022,7,M,M7
GA,167965,113766,487,429,0,0,2022,8,M,M8
GA,27671,18502,87,79,0,0,2022,9,M,M9
GA,15980,11272,62,60,0,0,2022,10,M,M10
GA,18350,12313,63,55,0,0,2022,11,M,M11
GA,45699,32072,147,137,0,0,2022,12,M,M12
GA,39108,24838,118,108,0,0,2023,1,M,M1
GA,14283,9543,37,31,0,0,2023,2,M,M2
GU,224,224,76,76,0,0,2020,3,M,M3
GU,74,74,8,8,0,0,2020,4,M,M4
GU,36,36,6,6,0,0,2020,5,M,M5
GU,153,151,4,4,0,0,2020,6,M,M6
GU,136,134,16,16,0,0,2020,7,M,M7
GU,1585,1579,152,152,0,0,2020,8,M,M8
GU,1801,1784,111,111,0,0,2020,9,M,M9
GU,2842,2764,130,130,0,0,2020,10,M,M10
GU,3180,3025,72,72,0,0,2020,11,M,M11
GU,665,589,18,18,0,0,2020,12,M,M12
GU,344,306,16,14,0,0,2021,1,M,M1
GU,172,168,6,6,0,0,2021,2,M,M2
GU,92,90,8,8,0,0,2021,3,M,M3
GU,288,260,8,8,0,0,2021,4,M,M4
GU,3717,3542,8,8,0,0,2021,5,M,M5
GU,338,288,2,2,0,0,2021,6,M,M6
GU,296,272,12,12,0,0,2021,7,M,M7
GU,3972,3536,34,34,0,0,2021,8,M,M8
GU,7947,4956,107,99,0,0,2021,9,M,M9
GU,5757,2680,86,86,0,0,2021,10,M,M10
GU,1663,716,42,42,0,0,2021,11,M,M11
GU,1425,765,14,12,0,0,2021,12,M,M12
GU,9933,8153,22,22,0,0,2022,1,M,M1
GU,15992,15305,6,6,0,0,2022,2,M,M2
