State,Year,Period,Pandemic_10
NY,2020,M07,599
NY,2020,M08,283
NY,2020,M09,367
NY,2020,M10,401
NY,2020,M11,895
NY,2020,M12,3345
NY,2021,M01,5651
NY,2021,M02,3967
NY,2021,M03,2680
NY,2021,M04,1958
NY,2021,M05,1043
NY,2021,M06,372
NY,2021,M07,171
NY,2021,M08,613
NY,2021,M09,1104
NY,2021,M10,1081
NY,2021,M11,1095
NY,2021,M12,1974
NY,2022,M01,5338
NY,2022,M02,2512
NY,2022,M03,609
NY,2022,M04,377
NY,2022,M05,645
NY,2022,M06,678
NY,2022,M07,602
NY,2022,M08,855
NY,2022,M09,704
NY,2022,M10,0
NC,2020,M01,0
NC,2020,M02,0
NC,2020,M03,12
NC,2020,M04,394
NC,2020,M05,531
NC,2020,M06,443
NC,2020,M07,562
NC,2020,M08,760
NC,2020,M09,830
NC,2020,M10,846
NC,2020,M11,883
NC,2020,M12,1487
NC,2021,M01,2587
NC,2021,M02,1877
NC,2021,M03,900
NC,2021,M04,539
NC,2021,M05,427
NC,2021,M06,359
NC,2021,M07,198
NC,2021,M08,833
NC,2021,M09,2056
NC,2021,M10,1526
NC,2021,M11,690
NC,2021,M12,686
NC,2022,M01,1331
NC,2022,M02,1813
NC,2022,M03,637
NC,2022,M04,198
NC,2022,M05,1239
NC,2022,M06,565
NC,2022,M07,274
NC,2022,M08,852
NC,2022,M09,190
NC,2022,M10,0
ND,2020,M01,0
ND,2020,M02,0
ND,2020,M03,3
ND,2020,M04,16
ND,2020,M05,42
ND,2020,M06,18
ND,2020,M07,24
ND,2020,M08,40
ND,2020,M09,103
ND,2020,M10,278
ND,2020,M11,409
ND,2020,M12,366
ND,2021,M01,148
ND,2021,M02,28
ND,2021,M03,23
ND,2021,M04,25
ND,2021,M05,20
ND,2021,M06,16
ND,2021,M07,11
ND,2021,M08,22
ND,2021,M09,53
ND,2021,M10,153
ND,2021,M11,132
ND,2021,M12,127
ND,2022,M01,83
ND,2022,M02,99
ND,2022,M03,-7
ND,2022,M04,36
ND,2022,M05,15
ND,2022,M06,13
ND,2022,M07,13
ND,2022,M08,39
ND,2022,M09,16
ND,2022,M10,0
OH,2020,M01,1
OH,2020,M02,0
OH,2020,M03,90
OH,2020,M04,992
OH,2020,M05,1051
OH,2020,M06,467
OH,2020,M07,608
OH,2020,M08,704
OH,2020,M09,558
OH,2020,M10,854
OH,2020,M11,2759
OH,2020,M12,5537
OH,2021,M01,3704
OH,2021,M02,1366
OH,2021,M03,600
OH,2021,M04,555
OH,2021,M05,460
OH,2021,M06,235
OH,2021,M07,165
OH,2021,M08,736
OH,2021,M09,2174
OH,2021,M10,2484
OH,2021,M11,2041
OH,2021,M12,3757
OH,2022,M01,4392
OH,2022,M02,1734
OH,2022,M03,475
OH,2022,M04,149
OH,2022,M05,171
OH,2022,M06,228
OH,2022,M07,302
OH,2022,M08,428
OH,2022,M09,353
OH,2022,M10,0
OK,2020,M01,0
OK,2020,M02,0
OK,2020,M03,23
OK,2020,M04,199
OK,2020,M05,112
OK,2020,M06,53
OK,2020,M07,154
OK,2020,M08,259
OK,2020,M09,231
OK,2020,M10,306
OK,2020,M11,406
OK,2020,M12,746
OK,2021,M01,1058
OK,2021,M02,881
OK,2021,M03,525
OK,2021,M04,1835
OK,2021,M05,503
