State,Year,Period,Supply_2
DE,2019,M01,6113
DE,2019,M02,6232
DE,2019,M03,5404
DE,2019,M04,4270
DE,2019,M05,3873
DE,2019,M06,4714
DE,2019,M07,5260
DE,2019,M08,5239
DE,2019,M09,3735
DE,2019,M10,3784
DE,2019,M11,4362
DE,2019,M12,4836
DE,2020,M01,5702
DE,2020,M02,5921
DE,2020,M03,5296
DE,2020,M04,44977
DE,2020,M05,50779
DE,2020,M06,45112
DE,2020,M07,40922
DE,2020,M08,33171
DE,2020,M09,28982
DE,2020,M10,17349
DE,2020,M11,12992
DE,2020,M12,12202
DE,2021,M01,13876
DE,2021,M02,13330
DE,2021,M03,11454
DE,2021,M04,10691
DE,2021,M05,12185
DE,2021,M06,12849
DE,2021,M07,10385
DE,2021,M08,7260
DE,2021,M09,4991
DE,2021,M10,4229
DE,2021,M11,4084
DE,2021,M12,4021
DE,2022,M01,5150
DE,2022,M02,4532
DE,2022,M03,3940
DE,2022,M04,3135
DE,2022,M05,2739
DE,2022,M06,3276
DE,2022,M07,3803
DE,2022,M08,3979
DE,2022,M09,2804
DE,2022,M10,2882
DE,2022,M11,2381
DE,2022,M12,NA
FL,2012,M01,132513
FL,2012,M02,118691
FL,2012,M03,120306
FL,2012,M04,122946
FL,2012,M05,126463
FL,2012,M06,132696
FL,2012,M07,140367
FL,2012,M08,134371
FL,2012,M09,128193
FL,2012,M10,126930
FL,2012,M11,114723
FL,2012,M12,114063
FL,2013,M01,118515
FL,2013,M02,103191
FL,2013,M03,101809
FL,2013,M04,104575
FL,2013,M05,101468
FL,2013,M06,106146
FL,2013,M07,115396
FL,2013,M08,107994
FL,2013,M09,104173
FL,2013,M10,101720
FL,2013,M11,109946
FL,2013,M12,102874
FL,2014,M01,116805
FL,2014,M02,104610
FL,2014,M03,99458
FL,2014,M04,99708
FL,2014,M05,93248
FL,2014,M06,92547
FL,2014,M07,94057
FL,2014,M08,96472
FL,2014,M09,88130
FL,2014,M10,81595
FL,2014,M11,76337
FL,2014,M12,74711
FL,2015,M01,73130
FL,2015,M02,76388
FL,2015,M03,64480
FL,2015,M04,60316
FL,2015,M05,60062
FL,2015,M06,64406
FL,2015,M07,71569
FL,2015,M08,71163
FL,2015,M09,66374
FL,2015,M10,58174
FL,2015,M11,55637
FL,2015,M12,53891
FL,2016,M01,51918
FL,2016,M02,50981
FL,2016,M03,48399
FL,2016,M04,47794
FL,2016,M05,46954
FL,2016,M06,52216
FL,2016,M07,57794
FL,2016,M08,58258
FL,2016,M09,51476
FL,2016,M10,45894
FL,2016,M11,44371
FL,2016,M12,41717
FL,2017,M01,44988
FL,2017,M02,42814
FL,2017,M03,40474
FL,2017,M04,42952
FL,2017,M05,43661
FL,2017,M06,49425
FL,2017,M07,53298
FL,2017,M08,54113
FL,2017,M09,47271
FL,2017,M10,50116
FL,2017,M11,37980
FL,2017,M12,41649
FL,2018,M01,42672
FL,2018,M02,42373
FL,2018,M03,39354
FL,2018,M04,38866
FL,2018,M05,37722
FL,2018,M06,43992
FL,2018,M07,47880
FL,2018,M08,43628
FL,2018,M09,39996
FL,2018,M10,37369
FL,2018,M11,34282
FL,2018,M12,37626
FL,2019,M01,38714
FL,2019,M02,38221
FL,2019,M03,35112
FL,2019,M04,33791
FL,2019,M05,33979
FL,2019,M06,39080
FL,2019,M07,41689
